Date,Price,Commodity,Units,Type,Data Source,Ticker
2022-05-31 22:53:46.290657,2165.483831680849,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2022-06-30 22:53:46.290657,2162.250461801392,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2022-07-31 22:53:46.290657,2165.8520316506633,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2022-08-31 22:53:46.290657,2167.5627196919036,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2022-09-30 22:53:46.290657,2166.5926901999105,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2022-10-31 22:53:46.290657,2153.806883996947,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2022-11-30 22:53:46.290657,2145.057746236362,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2022-12-31 22:53:46.290657,2142.3509214124488,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2023-01-31 22:53:46.290657,2130.3947657542412,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2023-02-28 22:53:46.290657,2115.292397920955,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2023-03-31 22:53:46.290657,2105.6841128670535,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2023-04-30 22:53:46.290657,2095.0274880210727,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2023-05-31 22:53:46.290657,2089.069329250595,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2023-06-30 22:53:46.290657,2082.0676805237576,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2023-07-31 22:53:46.290657,2077.915630936807,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2023-08-31 22:53:46.290657,2070.5999064581774,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2023-09-30 22:53:46.290657,2052.5247124343837,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2023-10-31 22:53:46.290657,2041.766722016747,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2023-11-30 22:53:46.290657,2032.8324487007606,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2023-12-31 22:53:46.290657,2023.582184086985,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2024-01-31 22:53:46.290657,2004.1097134268875,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2024-02-29 22:53:46.290657,1998.8219450460736,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2024-03-31 22:53:46.290657,1982.145069876904,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2024-04-30 22:53:46.290657,1981.9994193250675,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2024-05-31 22:53:46.290657,1948.748899758332,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2024-06-30 22:53:46.290657,1948.0328156747303,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2024-07-31 22:53:46.290657,1936.2547036885517,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2024-08-31 22:53:46.290657,1950.9034905327426,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2024-09-30 22:53:46.290657,1939.1148742679823,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2024-10-31 22:53:46.290657,1932.1848695879953,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2024-11-30 22:53:46.290657,1911.8509525174022,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2024-12-31 22:53:46.290657,1916.4906442823528,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2025-01-31 22:53:46.290657,1915.68096531261,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2025-02-28 22:53:46.290657,1915.0869848772154,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2025-03-31 22:53:46.290657,1900.1852568740803,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
2025-04-30 22:53:46.290657,1891.6217679522206,Iron Ore Futures,USD/MT,Futures,Sample Data,N/A
