Date,Price,Commodity,Units,Type,Data Source,Ticker
2022-05-31 22:53:45.608240,16047.231807222894,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2022-06-30 22:53:45.608240,16060.54564411719,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2022-07-31 22:53:45.608240,16085.748002620587,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2022-08-31 22:53:45.608240,15989.746360884712,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2022-09-30 22:53:45.608240,15915.59520393031,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2022-10-31 22:53:45.608240,15876.242485089977,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2022-11-30 22:53:45.608240,15885.727869355467,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2022-12-31 22:53:45.608240,15868.806489973571,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2023-01-31 22:53:45.608240,15804.446141371516,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2023-02-28 22:53:45.608240,15812.674355070301,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2023-03-31 22:53:45.608240,15731.446556992692,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2023-04-30 22:53:45.608240,15737.827995292924,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2023-05-31 22:53:45.608240,15646.799101883504,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2023-06-30 22:53:45.608240,15630.787797378289,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2023-07-31 22:53:45.608240,15594.942603645273,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2023-08-31 22:53:45.608240,15515.678536828424,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2023-09-30 22:53:45.608240,15408.62186275755,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2023-10-31 22:53:45.608240,15277.895272038242,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2023-11-30 22:53:45.608240,15165.155219299739,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2023-12-31 22:53:45.608240,15094.5564813425,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2024-01-31 22:53:45.608240,14976.215971853113,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2024-02-29 22:53:45.608240,14935.809048345493,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2024-03-31 22:53:45.608240,14835.500739846766,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2024-04-30 22:53:45.608240,14867.26909349442,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2024-05-31 22:53:45.608240,14808.08501503813,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2024-06-30 22:53:45.608240,14759.247995414422,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2024-07-31 22:53:45.608240,14611.302187229821,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2024-08-31 22:53:45.608240,14631.599481462947,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2024-09-30 22:53:45.608240,14602.346630362952,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2024-10-31 22:53:45.608240,14585.890819760325,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2024-11-30 22:53:45.608240,14472.671207028588,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2024-12-31 22:53:45.608240,14397.545950245922,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2025-01-31 22:53:45.608240,14293.470482040162,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2025-02-28 22:53:45.608240,14212.64156095797,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2025-03-31 22:53:45.608240,14220.332131315381,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
2025-04-30 22:53:45.608240,14205.604062504784,Antimony (Sb),CNY/MT,Spot,Sample Data,N/A
