Date,Price,Commodity,Units,Type,Data Source,Ticker,has_quality_issues
2023-02-28,2.686666666666667,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2023-03-31,2.887391304347826,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2023-04-28,2.3826315789473687,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2023-05-31,2.2209090909090907,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2023-06-30,2.3195238095238095,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2023-07-31,2.3636842105263156,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2023-08-31,2.595217391304348,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2023-09-29,2.461,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2023-10-31,2.294090909090909,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2023-11-30,2.4763157894736842,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2023-12-29,1.782,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2024-01-31,2.795714285714286,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2024-02-29,1.7274999999999998,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2024-03-29,1.6835,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2024-04-30,1.3140909090909092,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2024-05-31,1.2322727272727272,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2024-06-28,0.7931578947368422,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2024-07-31,0.930952380952381,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2024-08-30,0.6072727272727273,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2024-09-30,0.43099999999999994,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2024-10-31,1.0581818181818183,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2024-11-29,1.375,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2024-12-31,1.793809523809524,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2025-01-31,1.75,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2025-02-28,2.1905263157894734,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2025-03-31,2.1100000000000003,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
2025-04-30,2.241904761904762,Natural Gas (AECO),CAD/GJ,Spot,Bloomberg,NGCDAECO BNGC Index,True
