Date,Price,Commodity,Units,Type,Data Source,Ticker
2021-02-26,2108.1,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2021-03-31,1948.0004347826089,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2021-04-30,2011.9189999999999,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2021-05-31,2181.8126315789473,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2021-06-30,2191.029090909091,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2021-07-30,2337.5136363636366,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2021-08-31,2414.467619047619,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2021-09-30,2248.2977272727276,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2021-10-29,2344.8323809523813,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2021-11-30,2329.9772727272725,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2021-12-31,2301.69,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2022-01-31,2331.8495,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2022-02-28,2296.8605,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2022-03-31,2344.835652173913,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2022-04-29,2380.4094736842103,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2022-05-31,2142.4814285714288,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2022-06-30,2066.3755,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2022-07-29,1985.1961904761906,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2022-08-31,2072.718181818182,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2022-09-30,1870.1013636363639,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2022-10-31,1999.8604761904762,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2022-11-30,2099.9927272727273,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2022-12-30,2216.475,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2023-01-31,2201.2557142857145,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2023-02-28,2093.0625,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2023-03-31,2115.1782608695653,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2023-04-28,2149.4305555555557,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2023-05-31,2083.6014999999998,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2023-06-30,2122.8863636363635,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2023-07-31,2109.1219047619047,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2023-08-31,2153.8354545454545,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2023-09-29,2252.1014285714286,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2023-10-31,2131.359090909091,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2023-11-30,2188.455454545455,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2023-12-29,2026.9084210526316,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2024-01-31,2089.7927272727275,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
2024-02-29,2079.8276190476195,Lead (Pb),USD/MT,Spot (LME Cash),Bloomberg,LMPBDY Comdty
