Date,Price,Commodity,Units,Type,Data Source,Ticker
2021-08-31,1913.4444444444443,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2021-09-30,1928.1904761904761,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2021-10-29,1884.142857142857,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2021-11-30,1765.4761904761904,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2021-12-31,1592.1363636363637,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2022-01-31,1377.05,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2022-02-28,1120.421052631579,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2022-03-31,1148.0,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2022-04-29,1472.15,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2022-05-31,1345.857142857143,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2022-06-30,1120.4285714285713,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2022-07-29,908.75,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2022-08-31,803.4347826086956,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2022-09-30,794.6190476190476,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2022-10-31,745.9047619047619,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2022-11-30,666.3333333333334,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2022-12-30,676.6190476190476,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2023-01-31,737.25,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2023-02-28,854.8421052631579,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2023-03-31,1069.5217391304348,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2023-04-28,1157.95,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2023-05-31,1087.5454545454545,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2023-06-30,919.9047619047619,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2023-07-31,871.05,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2023-08-31,800.0,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2023-09-29,710.6,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2023-10-31,735.5,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2023-11-30,905.4761904761905,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2023-12-29,1075.7,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2024-01-31,1076.5238095238096,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2024-02-29,924.85,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2024-03-29,802.6,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2024-04-30,841.9545454545455,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2024-05-31,786.9090909090909,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2024-06-28,722.1052631578947,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2024-07-31,666.3636363636364,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2024-08-30,680.1363636363636,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2024-09-30,706.6,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2024-10-31,708.5217391304348,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2024-11-29,693.65,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2024-12-31,688.9047619047619,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2025-01-31,704.4761904761905,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2025-02-28,785.3684210526316,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2025-03-31,924.3333333333334,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
2025-04-30,929.2380952380952,US HRC Steel,USD/short ton,Futures / Spot,Bloomberg,HRC1 Comdty
