Date,Price,Commodity,Units,Type,Data Source,Ticker,has_quality_issues
2021-08-31,2974.79875,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2021-09-30,3036.0186363636367,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2021-10-29,3359.912380952381,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2021-11-30,3311.271818181818,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2021-12-31,3399.214285714286,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2022-01-31,3599.1375,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2022-02-28,3620.0375,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2022-03-31,3962.207391304348,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2022-04-29,4360.4315789473685,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2022-05-31,3751.480476190476,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2022-06-30,3629.7305,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2022-07-29,3105.3619047619045,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2022-08-31,3587.5690909090913,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2022-09-30,3124.968181818182,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2022-10-31,2967.210476190476,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2022-11-30,2938.9204545454545,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2022-12-30,3129.475,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2023-01-31,3309.8128571428574,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2023-02-28,3133.838,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2023-03-31,2967.4647826086957,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2023-04-28,2767.5644444444447,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2023-05-31,2475.698,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2023-06-30,2375.4500000000003,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2023-07-31,2404.6452380952383,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2023-08-31,2406.716363636364,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2023-09-29,2495.4961904761903,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2023-10-31,2447.181818181818,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2023-11-30,2543.6104545454546,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2023-12-29,2502.3915789473685,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2024-01-31,2515.5272727272727,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2024-02-29,2360.091904761905,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2024-03-29,2461.0435,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2024-04-30,2741.4014285714284,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2024-05-31,2957.002380952381,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2024-06-28,2809.185,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2024-07-31,2777.268695652174,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2024-08-30,2714.080952380952,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2024-09-30,2847.4838095238097,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2024-10-31,3105.7708695652173,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2024-11-29,3004.1961904761906,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2024-12-31,3034.157,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2025-01-31,2818.96,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2025-02-28,2798.2765,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2025-03-31,2886.7619047619046,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
2025-04-30,2618.3315,Zinc (Zn),USD/MT,Spot (LME Cash),Bloomberg,LMZSDY Comdty,True
