Date,Price,Commodity,Units,Type,Data Source,Ticker,has_quality_issues
2022-01-31,3072.4790909090907,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2022-02-28,3245.7855,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2022-03-31,3498.373043478261,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2022-04-29,3244.4105263157894,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2022-05-31,2830.3152380952383,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2022-06-30,2563.4365000000003,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2022-07-29,2408.423333333333,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2022-08-31,2430.785,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2022-09-30,2224.755909090909,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2022-10-31,2255.535238095238,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2022-11-30,2350.717727272727,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2022-12-30,2401.6865000000003,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2023-01-31,2501.8242857142855,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2023-02-28,2416.1814999999997,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2023-03-31,2296.416956521739,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2023-04-28,2343.228888888889,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2023-05-31,2268.602,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2023-06-30,2184.7536363636364,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2023-07-31,2159.732380952381,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2023-08-31,2136.5745454545454,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2023-09-29,2184.6738095238097,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2023-10-31,2194.390909090909,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2023-11-30,2202.2554545454545,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2023-12-29,2182.4268421052634,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2024-01-31,2195.024090909091,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2024-02-29,2179.4571428571426,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2024-03-29,2226.1595,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2024-04-30,2509.844761904762,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2024-05-31,2566.5685714285714,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2024-06-28,2497.6055,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2024-07-31,2349.1252173913044,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2024-08-30,2343.672857142857,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2024-09-30,2457.478095238095,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2024-10-31,2595.583043478261,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2024-11-29,2582.1885714285713,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2024-12-31,2541.0215,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2025-01-31,2573.3972727272726,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2025-02-28,2655.7725,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2025-03-31,2651.5985714285716,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
2025-04-30,2371.6025,Aluminum (Al),USD/MT,Spot (LME Cash),Bloomberg,LMAHDY Comdty,True
