Date,Price,Commodity,Units,Type,Data Source,Ticker
2025-01-27,2605.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-05,2605.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-06,2605.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-07,2605.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-10,2605.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-11,2605.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-12,2605.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-13,2605.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-14,2605.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-17,2605.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-18,2625.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-19,2625.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-20,2595.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-21,2595.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-24,2595.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-25,2595.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-26,2595.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-27,2595.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-02-28,2595.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-03,2595.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-04,2595.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-05,2595.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-06,2595.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-07,2595.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-10,2745.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-11,2745.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-12,2900.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-13,3000.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-14,3000.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-17,3000.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-18,3000.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-19,3000.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-20,2925.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-21,2925.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-24,2875.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-25,2875.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-26,2875.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-27,2875.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-28,2875.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-03-31,2875.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-04-01,2875.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-04-02,2875.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-04-03,2875.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-04-07,2875.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-04-08,2875.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-04-09,2875.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-04-10,2775.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-04-11,2775.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-04-14,2700.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-04-15,2700.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-04-16,2700.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-04-17,2700.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-04-18,2700.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-04-21,2700.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-04-22,2700.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-04-23,2700.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
2025-04-24,2700.0,Indium (In),CNY/kg,Spot,Bloomberg,IUCNRZYP SMET Index
