Date,Price,Commodity,Units,Type,Data Source,Ticker
2024-07-19,2439.21,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-07-26,2391.136,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-08-02,2426.4139999999998,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-08-09,2408.6760000000004,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-08-16,2470.142,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-08-23,2505.634,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-08-30,2514.4139999999998,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-09-06,2500.462,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-09-13,2534.094,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-09-20,2583.8959999999997,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-09-27,2654.666,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-10-04,2653.198,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-10-11,2631.704,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-10-18,2679.8239999999996,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-10-25,2733.6279999999997,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-11-01,2757.062,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-11-08,2706.2619999999997,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-11-15,2583.6580000000004,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-11-22,2656.084,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-11-29,2635.05,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-12-06,2639.5119999999997,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-12-13,2680.348,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-12-20,2620.364,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2024-12-27,2621.1025,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-01-03,2632.2799999999997,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-01-10,2660.802,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-01-17,2690.9,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-01-24,2746.9900000000002,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-01-31,2771.3360000000002,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-02-07,2848.502,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-02-14,2904.19,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-02-21,2928.2,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-02-28,2903.69,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-03-07,2910.182,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-03-14,2942.544,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-03-21,3030.034,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-03-28,3038.584,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-04-04,3104.94,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-04-11,3092.618,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-04-18,3277.9049999999997,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-04-25,3352.4199999999996,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-05-02,3285.958,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
2025-05-09,3352.218,Gold (Au),USD/troy oz,Spot,Bloomberg,XAU BGN Curncy
