Date,Price,Commodity,Units,Type,Data Source,Ticker
2024-07-19,101.1,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-26,96.714,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-02,96.564,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-09,96.846,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-16,91.936,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-23,90.424,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-30,94.74,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-06,87.90799999999999,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-13,87.17999999999999,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-20,87.475,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-27,90.096,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-04,101.41999999999999,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-11,98.1,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-18,97.50333333333333,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-25,94.584,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-01,96.43199999999999,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-08,97.2,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-15,92.744,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-22,94.566,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-29,96.17999999999999,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-06,97.576,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-13,97.976,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-20,95.974,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-27,94.72200000000001,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-03,94.975,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-10,92.798,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-17,96.286,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-24,98.33,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-31,99.88499999999999,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-07,99.52666666666666,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-14,100.19,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-21,101.776,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-28,100.05199999999999,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-07,95.764,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-14,96.024,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-21,95.002,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-28,96.44800000000001,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-04,96.8125,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-11,92.5,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-18,93.866,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-25,94.5,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-05-02,93.98,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-05-09,94.36666666666667,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
