Date,Price,Commodity,Units,Type,Data Source,Ticker
2024-07-19,30.25674,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-07-26,28.610360000000004,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-08-02,28.467539999999996,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-08-09,27.172180000000004,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-08-16,28.14672,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-08-23,29.457720000000002,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-08-30,29.45806,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-09-06,28.32504,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-09-13,29.2046,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-09-20,30.69586,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-09-27,31.63796,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-10-04,31.73278,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-10-11,31.11146,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-10-18,31.96046,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-10-25,33.949619999999996,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-11-01,33.41098,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-11-08,31.924,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-11-15,30.486259999999998,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-11-22,31.074360000000002,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-11-29,30.337259999999997,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-12-06,31.02566,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-12-13,31.438799999999997,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-12-20,29.80176,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2024-12-27,29.626450000000002,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-01-03,29.261225,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-01-10,30.130779999999998,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-01-17,30.27026,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-01-24,30.6384,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-01-31,30.87762,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-02-07,32.013819999999996,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-02-14,32.11074,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-02-21,32.66682,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-02-28,31.674059999999997,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-03-07,32.30098,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-03-14,33.19262,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-03-21,33.65924,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-03-28,33.783699999999996,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-04-04,32.62028,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-04-11,30.8911,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-04-18,32.496975,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-04-25,33.0949,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-05-02,32.62756,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
2025-05-09,32.670280000000005,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy
