Date,Price,Commodity,Units,Type,Data Source,Ticker,has_quality_issues
2025-01-27,15341.34,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-01-28,15221.4,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-01-29,15280.46,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-01-30,15180.39,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-01-31,15003.12,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-02-03,14993.57,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-02-04,15048.41,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-02-05,15311.46,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-02-06,15594.36,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-02-07,15537.8,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-02-10,15297.75,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-02-11,15312.94,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-02-12,15196.9,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-02-13,15163.32,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-02-14,15259.25,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-02-17,15280.94,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-02-18,15130.05,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-02-19,15183.68,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
2025-02-20,15453.48,Nickel (Ni),USD/MT,Spot (LME Cash),Bloomberg,LMNIDY Comdty,True
