Date,Price,Commodity,Units,Type,Data Source,Ticker,has_quality_issues
2021-02-26,165.105,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2021-03-31,158.82391304347829,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2021-04-30,169.62272727272727,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2021-05-31,209.92631578947368,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2021-06-30,209.43857142857144,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2021-07-30,206.01136363636363,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2021-08-31,159.09636363636363,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2021-09-30,124.36818181818181,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2021-10-29,122.41235294117648,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2021-11-30,91.50500000000001,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2021-12-31,105.67782608695653,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2022-01-31,121.87333333333333,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2022-02-28,127.261875,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2022-03-31,138.18652173913043,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2022-04-29,138.62285714285713,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2022-05-31,126.7585,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2022-06-30,122.4342857142857,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2022-07-29,99.96521739130434,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2022-08-31,100.9513043478261,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2022-09-30,95.90904761904761,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2022-10-31,90.15444444444444,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2022-11-30,89.38818181818182,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2022-12-30,104.9940909090909,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2023-01-31,113.3111111111111,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2023-02-28,116.85799999999999,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2023-03-31,120.0595652173913,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2023-04-28,113.67049999999999,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2023-05-31,101.00857142857141,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2023-06-30,106.71238095238095,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2023-07-31,110.02238095238097,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2023-08-31,107.90086956521738,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2023-09-29,115.49300000000001,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2023-10-31,115.55052631578947,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2023-11-30,123.15545454545455,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2023-12-29,127.56666666666668,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2024-01-31,129.93954545454545,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2024-02-29,121.44444444444444,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2024-03-29,104.3752380952381,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2024-04-30,105.59,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2024-05-31,109.9052380952381,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2024-06-28,101.95105263157895,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2024-07-31,100.49304347826087,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2024-08-30,93.92681818181818,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2024-09-30,89.46000000000001,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2024-10-31,96.68315789473684,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2024-11-29,95.18904761904761,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2024-12-31,96.42954545454545,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2025-01-31,96.13315789473684,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2025-02-28,100.46631578947368,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2025-03-31,95.79047619047618,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
2025-04-30,94.18590909090909,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index,True
