Date,Price,Commodity,Units,Type,Data Source,Ticker,has_quality_issues
2021-02-26,11.885,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2021-03-31,12.062608695652173,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2021-04-30,11.128,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2021-05-31,12.700526315789475,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2021-06-30,17.092727272727274,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2021-07-30,18.481363636363636,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2021-08-31,18.981428571428573,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2021-09-30,19.76681818181818,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2021-10-29,18.976666666666667,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2021-11-30,19.02,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2021-12-31,18.61095238095238,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2022-01-31,18.9865,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2022-02-28,18.997999999999998,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2022-03-31,19.20391304347826,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2022-04-29,19.24473684210526,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2022-05-31,18.916666666666668,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2022-06-30,17.288999999999998,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2022-07-29,16.440952380952382,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2022-08-31,14.71,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2022-09-30,16.78,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2022-10-31,18.793333333333333,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2022-11-30,19.041818181818183,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2022-12-30,24.2345,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2023-01-31,31.27952380952381,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2023-02-28,37.178,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2023-03-31,32.073478260869564,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2023-04-28,20.141666666666666,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2023-05-31,21.078,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2023-06-30,22.357727272727274,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2023-07-31,22.382857142857144,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2023-08-31,24.810000000000002,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2023-09-29,24.179523809523808,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2023-10-31,20.93136363636364,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2023-11-30,17.498636363636365,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2023-12-29,18.045263157894738,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2024-01-31,20.009090909090908,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2024-02-29,19.76238095238095,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2024-03-29,20.116999999999997,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2024-04-30,19.803809523809523,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2024-05-31,21.738095238095237,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2024-06-28,23.316,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2024-07-31,22.82086956521739,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2024-08-30,21.02857142857143,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2024-09-30,21.58809523809524,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2024-10-31,21.906521739130437,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2024-11-29,21.923333333333332,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2024-12-31,21.493000000000002,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2025-01-31,20.935909090909092,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2025-02-28,20.625999999999998,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2025-03-31,20.293333333333333,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
2025-04-30,19.938,Molybdenum (Mo),USD/lb,Futures,Bloomberg,MYB1 Comdty,True
