Date,Price,Commodity,Units,Type,Data Source,Ticker
2024-02-26,1530.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-02-27,1530.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-02-28,1530.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-02-29,1530.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-01,1530.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-04,1530.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-05,1530.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-06,1530.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-07,1530.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-08,1530.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-11,1530.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-12,1530.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-13,1530.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-14,1530.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-15,1530.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-18,1530.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-19,1530.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-20,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-21,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-22,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-25,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-26,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-27,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-03-28,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-01,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-02,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-03,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-07,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-08,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-09,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-10,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-11,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-12,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-15,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-16,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-17,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-18,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-19,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-22,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-23,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-24,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-25,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-26,1545.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-28,1555.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-29,1555.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-04-30,1555.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-05-06,1555.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-05-07,1555.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-05-08,1555.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-05-09,1555.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
2024-05-10,1555.0,Germanium (Ge),USD/kg,Spot,Bloomberg,GECNMVKY AMTL Index
