Date,Price,Commodity,Units,Type,Data Source,Ticker,has_quality_issues
2024-02-26,22.5206,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-02-27,22.462,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-02-28,22.4578,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-02-29,22.6756,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-01,23.1235,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-04,23.8865,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-05,23.671,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-06,24.1673,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-07,24.3281,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-08,24.3117,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-11,24.4684,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-12,24.1448,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-13,25.0062,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-14,24.8169,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-15,25.1869,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-18,25.0373,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-19,24.9148,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-20,25.5824,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-21,24.7437,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-22,24.6733,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-25,24.6834,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-26,24.4553,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-27,24.6488,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-03-28,24.9631,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-01,25.0842,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-02,26.1411,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-03,27.1822,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-04,26.9141,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-05,27.4757,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-08,27.8505,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-09,28.152,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-10,27.9481,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-11,28.4437,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-12,27.8773,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-15,28.872,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-16,28.107,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-17,28.2233,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-18,28.2446,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-19,28.689,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-22,27.1965,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-23,27.3068,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-24,27.1626,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-25,27.434,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
