Date,Price,Commodity,Units,Type,Data Source,Ticker
2022-05-31 23:48:29.311734,3.293162416628139,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2022-06-30 23:48:29.311734,3.283722611032958,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2022-07-31 23:48:29.311734,3.26946746060891,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2022-08-31 23:48:29.311734,3.2536483050579696,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2022-09-30 23:48:29.311734,3.249219938970676,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2022-10-31 23:48:29.311734,3.25654973652966,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2022-11-30 23:48:29.311734,3.2555192981017442,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2022-12-31 23:48:29.311734,3.2403114720803585,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2023-01-31 23:48:29.311734,3.212442172221514,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2023-02-28 23:48:29.311734,3.1822870311801967,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2023-03-31 23:48:29.311734,3.179455096979245,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2023-04-30 23:48:29.311734,3.1648834820633396,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2023-05-31 23:48:29.311734,3.152535985310409,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2023-06-30 23:48:29.311734,3.1396705848642696,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2023-07-31 23:48:29.311734,3.1207303625498906,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2023-08-31 23:48:29.311734,3.1123335423266703,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2023-09-30 23:48:29.311734,3.0840389393048455,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2023-10-31 23:48:29.311734,3.0624391774563287,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2023-11-30 23:48:29.311734,3.0435967223894558,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2023-12-31 23:48:29.311734,3.0245842694701515,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2024-01-31 23:48:29.311734,2.993437959421439,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2024-02-29 23:48:29.311734,2.9756700283124986,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2024-03-31 23:48:29.311734,2.9614808773323156,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2024-04-30 23:48:29.311734,2.971740712013638,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2024-05-31 23:48:29.311734,2.949855338254166,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2024-06-30 23:48:29.311734,2.9449855916990875,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2024-07-31 23:48:29.311734,2.909105731667005,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2024-08-31 23:48:29.311734,2.8878531965923284,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2024-09-30 23:48:29.311734,2.8515748205034672,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2024-10-31 23:48:29.311734,2.8455809190248296,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2024-11-30 23:48:29.311734,2.83182720819222,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2024-12-31 23:48:29.311734,2.819853021470781,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2025-01-31 23:48:29.311734,2.819432969477063,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2025-02-28 23:48:29.311734,2.828813336589715,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2025-03-31 23:48:29.311734,2.822378564793493,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
2025-04-30 23:48:29.311734,2.806127972798482,Molybdenum (Mo),USD/lb,Futures,Sample Data,N/A
