Date,Price,Commodity,Units,Type,Data Source,Ticker,has_quality_issues
2024-02-26,8361.5,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-02-27,8375.25,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-02-28,8354.75,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-02-29,8401.5,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-01,8416.0,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-04,8455.91,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-05,8400.75,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-06,8484.25,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-07,8546.49,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-08,8487.27,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-11,8559.65,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-12,8560.7,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-13,8833.46,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-14,8783.25,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-15,8968.5,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-18,8986.11,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-19,8870.81,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-20,8818.84,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-21,8837.66,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-22,8756.04,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-25,8757.63,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-26,8748.47,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-27,8744.39,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-03-28,8766.51,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-02,8888.06,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-03,9150.56,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-04,9242.06,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-05,9208.5,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-08,9281.51,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-09,9283.0,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-10,9240.45,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-11,9209.9,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-12,9333.2,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-15,9499.47,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-16,9355.1,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-17,9489.7,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-18,9652.0,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-19,9797.24,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-22,9742.0,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-23,9602.05,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-24,9654.83,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-25,9742.15,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-26,9852.84,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-29,10063.9,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-04-30,9892.4,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-01,9782.43,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-02,9642.46,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-03,9790.13,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-07,9894.29,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-08,9767.35,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-09,9780.61,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-10,9897.52,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-13,10082.4,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-14,10008.46,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-15,10124.79,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-16,10343.18,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-17,10597.85,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-20,10800.81,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-21,10742.0,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-22,10295.21,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-23,10318.41,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-24,10204.59,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-28,10380.76,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-29,10326.27,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-30,10007.14,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-05-31,9913.38,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-03,10016.96,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-04,9820.12,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-05,9806.25,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-06,10036.51,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-07,9638.42,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-10,9765.86,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-11,9630.4,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-12,9820.99,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-13,9663.72,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-14,9615.52,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-17,9536.8,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-18,9532.27,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-19,9647.21,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-20,9721.5,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-21,9547.61,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-24,9513.25,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-25,9422.59,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-26,9399.31,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-27,9372.07,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-06-28,9455.98,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-01,9482.77,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-02,9527.16,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-03,9720.19,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-04,9734.08,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-05,9795.24,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-08,9760.01,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-09,9711.02,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-10,9743.59,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-11,9627.95,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-12,9726.88,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-15,9652.55,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-16,9505.34,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-17,9489.6,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-18,9254.9,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-19,9179.32,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-22,9090.68,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-23,9046.71,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-24,8976.43,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-25,9003.52,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-26,8995.45,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-29,8893.67,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-30,8842.86,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-07-31,9102.28,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-01,8923.85,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-02,8933.85,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-05,8765.32,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-06,8804.02,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-07,8640.93,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-08,8670.92,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-09,8747.28,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-12,8908.18,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-13,8847.41,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-14,8863.8,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-15,9050.88,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-16,9006.25,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-19,9142.64,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-20,9085.84,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-21,9136.11,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-22,9010.28,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-23,9173.38,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
2024-08-27,9326.52,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty,True
