Date,Price,Commodity,Units,Type,Data Source,Ticker
2024-04-30 23:51:24.715435,98.046294466574,Natural Gas (AECO),CAD/GJ,Spot,Sample Data,N/A
2024-05-31 23:51:24.715435,97.22477623332038,Natural Gas (AECO),CAD/GJ,Spot,Sample Data,N/A
2024-06-30 23:51:24.715435,96.64500624612394,Natural Gas (AECO),CAD/GJ,Spot,Sample Data,N/A
2024-07-31 23:51:24.715435,96.88482922961454,Natural Gas (AECO),CAD/GJ,Spot,Sample Data,N/A
2024-08-31 23:51:24.715435,95.94061913294716,Natural Gas (AECO),CAD/GJ,Spot,Sample Data,N/A
2024-09-30 23:51:24.715435,95.73507365318778,Natural Gas (AECO),CAD/GJ,Spot,Sample Data,N/A
2024-10-31 23:51:24.715435,94.4116445198518,Natural Gas (AECO),CAD/GJ,Spot,Sample Data,N/A
2024-11-30 23:51:24.715435,94.31065624167343,Natural Gas (AECO),CAD/GJ,Spot,Sample Data,N/A
2024-12-31 23:51:24.715435,94.15775410174162,Natural Gas (AECO),CAD/GJ,Spot,Sample Data,N/A
2025-01-31 23:51:24.715435,94.46308531140285,Natural Gas (AECO),CAD/GJ,Spot,Sample Data,N/A
2025-02-28 23:51:24.715435,93.85140744170097,Natural Gas (AECO),CAD/GJ,Spot,Sample Data,N/A
2025-03-31 23:51:24.715435,93.56613767407373,Natural Gas (AECO),CAD/GJ,Spot,Sample Data,N/A
2025-04-30 23:51:24.715435,92.39913888562536,Natural Gas (AECO),CAD/GJ,Spot,Sample Data,N/A
