Date,Price,Commodity,Units,Type,Data Source,Ticker
2024-04-30 23:51:26.299095,77.84588074998406,WCS Differential,USD/barrel,Spot Differential / Spot Price,Sample Data,N/A
2024-05-31 23:51:26.299095,77.40820925185898,WCS Differential,USD/barrel,Spot Differential / Spot Price,Sample Data,N/A
2024-06-30 23:51:26.299095,77.3322750751844,WCS Differential,USD/barrel,Spot Differential / Spot Price,Sample Data,N/A
2024-07-31 23:51:26.299095,77.28527914888487,WCS Differential,USD/barrel,Spot Differential / Spot Price,Sample Data,N/A
2024-08-31 23:51:26.299095,76.35445146100145,WCS Differential,USD/barrel,Spot Differential / Spot Price,Sample Data,N/A
2024-09-30 23:51:26.299095,75.82428714886306,WCS Differential,USD/barrel,Spot Differential / Spot Price,Sample Data,N/A
2024-10-31 23:51:26.299095,75.04553977618558,WCS Differential,USD/barrel,Spot Differential / Spot Price,Sample Data,N/A
2024-11-30 23:51:26.299095,75.76993945837344,WCS Differential,USD/barrel,Spot Differential / Spot Price,Sample Data,N/A
2024-12-31 23:51:26.299095,75.88257393527914,WCS Differential,USD/barrel,Spot Differential / Spot Price,Sample Data,N/A
2025-01-31 23:51:26.299095,75.95175305092755,WCS Differential,USD/barrel,Spot Differential / Spot Price,Sample Data,N/A
2025-02-28 23:51:26.299095,75.1072495102306,WCS Differential,USD/barrel,Spot Differential / Spot Price,Sample Data,N/A
2025-03-31 23:51:26.299095,74.91792109347801,WCS Differential,USD/barrel,Spot Differential / Spot Price,Sample Data,N/A
2025-04-30 23:51:26.299095,73.92054103432643,WCS Differential,USD/barrel,Spot Differential / Spot Price,Sample Data,N/A
