Date,Price,Commodity,Units,Type,Data Source,Ticker
2024-04-30 23:51:30.937176,988.902768129276,Platinum (Pt),USD/troy oz,Spot,Sample Data,N/A
2024-05-31 23:51:30.937176,989.0819188931106,Platinum (Pt),USD/troy oz,Spot,Sample Data,N/A
2024-06-30 23:51:30.937176,988.3567566753027,Platinum (Pt),USD/troy oz,Spot,Sample Data,N/A
2024-07-31 23:51:30.937176,986.0719282046189,Platinum (Pt),USD/troy oz,Spot,Sample Data,N/A
2024-08-31 23:51:30.937176,980.7773115229533,Platinum (Pt),USD/troy oz,Spot,Sample Data,N/A
2024-09-30 23:51:30.937176,976.6667719556314,Platinum (Pt),USD/troy oz,Spot,Sample Data,N/A
2024-10-31 23:51:30.937176,973.0417238129344,Platinum (Pt),USD/troy oz,Spot,Sample Data,N/A
2024-11-30 23:51:30.937176,969.6021943745583,Platinum (Pt),USD/troy oz,Spot,Sample Data,N/A
2024-12-31 23:51:30.937176,967.0872061026452,Platinum (Pt),USD/troy oz,Spot,Sample Data,N/A
2025-01-31 23:51:30.937176,962.9250572014095,Platinum (Pt),USD/troy oz,Spot,Sample Data,N/A
2025-02-28 23:51:30.937176,960.2765597862845,Platinum (Pt),USD/troy oz,Spot,Sample Data,N/A
2025-03-31 23:51:30.937176,960.639676660688,Platinum (Pt),USD/troy oz,Spot,Sample Data,N/A
2025-04-30 23:51:30.937176,958.489757924879,Platinum (Pt),USD/troy oz,Spot,Sample Data,N/A
