Date,Price,Commodity,Units,Type,Data Source,Ticker
2024-04-30 23:51:30.937176,1978.5621895701631,Sulphur,USD/MT,Spot,Sample Data,N/A
2024-05-31 23:51:30.937176,1964.6542361359207,Sulphur,USD/MT,Spot,Sample Data,N/A
2024-06-30 23:51:30.937176,1954.6612994629559,Sulphur,USD/MT,Spot,Sample Data,N/A
2024-07-31 23:51:30.937176,1944.0335150104738,Sulphur,USD/MT,Spot,Sample Data,N/A
2024-08-31 23:51:30.937176,1934.160521840385,Sulphur,USD/MT,Spot,Sample Data,N/A
2024-09-30 23:51:30.937176,1924.5466784263642,Sulphur,USD/MT,Spot,Sample Data,N/A
2024-10-31 23:51:30.937176,1920.3183396038469,Sulphur,USD/MT,Spot,Sample Data,N/A
2024-11-30 23:51:30.937176,1908.3814093707151,Sulphur,USD/MT,Spot,Sample Data,N/A
2024-12-31 23:51:30.937176,1899.7574228259916,Sulphur,USD/MT,Spot,Sample Data,N/A
2025-01-31 23:51:30.937176,1884.0274637333723,Sulphur,USD/MT,Spot,Sample Data,N/A
2025-02-28 23:51:30.937176,1887.4189961071381,Sulphur,USD/MT,Spot,Sample Data,N/A
2025-03-31 23:51:30.937176,1886.996840863844,Sulphur,USD/MT,Spot,Sample Data,N/A
2025-04-30 23:51:30.937176,1889.982763406673,Sulphur,USD/MT,Spot,Sample Data,N/A
