Date,Price,Commodity,Units,Type,Data Source,Ticker
2024-02-26,13.25,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-02-27,13.25,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-02-28,13.25,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-02-29,13.25,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-01,14.54,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-04,14.3,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-05,14.9,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-06,13.5,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-07,13.5,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-08,13.5,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-11,13.5,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-12,13.5,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-13,13.5,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-14,13.5,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-15,13.5,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-18,13.5,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-19,13.41,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-20,13.27,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-21,13.27,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-22,13.27,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-25,13.27,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-26,13.27,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-27,13.27,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-03-28,13.27,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-01,13.25,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-02,13.15,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-03,13.8,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-04,13.6,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-05,13.15,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-08,13.23,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-09,13.4,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-10,13.7,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-11,13.7,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-12,14.23,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-15,14.0,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-16,14.08,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-17,14.0,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-18,13.75,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-19,13.75,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-22,13.75,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-23,13.75,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-24,13.75,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-25,13.85,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-26,13.85,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-29,13.83,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-04-30,13.83,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-05-01,13.83,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-05-02,14.35,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-05-03,14.35,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
2024-05-06,14.35,Lithium (Li),USD/kg,Futures,Bloomberg,LFA1 Comdty
