Date,Price,Commodity,Units,Type,Data Source,Ticker,has_quality_issues
2024-02-26,880.61,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-02-27,891.44,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-02-28,880.31,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-02-29,880.27,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-01,888.26,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-04,899.14,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-05,883.65,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-06,908.97,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-07,921.08,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-08,914.49,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-11,937.98,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-12,925.41,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-13,941.79,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-14,927.4,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-15,938.89,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-18,917.9,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-19,896.99,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-20,909.77,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-21,908.26,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-22,898.35,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-25,904.9,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-26,905.42,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-27,899.88,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-28,911.29,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-03-29,911.29,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-01,905.76,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-02,924.97,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-03,940.21,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-04,934.78,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-05,930.56,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-08,966.37,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-09,980.16,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-10,965.24,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-11,983.21,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-12,976.74,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-15,973.82,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-16,959.2,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-17,943.33,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-18,939.65,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-19,935.54,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-22,922.41,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-23,912.6,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-24,905.73,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-25,918.84,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-26,917.04,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-29,951.93,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-04-30,937.84,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-05-01,953.92,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-05-02,954.73,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-05-03,957.44,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-05-06,959.23,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-05-07,978.59,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-05-08,976.38,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-05-09,984.47,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-05-10,997.63,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-05-13,1000.78,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-05-14,1038.15,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-05-15,1068.35,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
2024-05-16,1063.11,Platinum (Pt),USD/troy oz,Spot,Bloomberg,XPT BGN Curncy,True
