Date,Price,Commodity,Units,Type,Data Source,Ticker
2023-08-18,34200.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-08-25,34750.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-09-01,34550.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-09-08,33250.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-09-15,33130.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-09-22,33050.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-09-29,33116.666666666664,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-10-06,33116.666666666664,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-10-13,33490.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-10-20,33490.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-10-27,33090.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-11-03,31410.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-11-10,29730.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-11-17,29310.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-11-24,29910.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-12-01,31690.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-12-08,32670.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-12-15,33050.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-12-22,31850.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2023-12-29,31250.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2024-01-05,30750.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2024-01-12,30350.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2024-01-19,31510.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2024-01-26,32250.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2024-02-02,32250.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2024-02-09,32250.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2024-02-16,32250.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2024-02-23,31350.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2024-03-01,31350.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2024-03-08,31350.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2024-03-15,31350.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2024-03-22,31850.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
2024-03-29,32250.0,Cadmium (Cd),CNY/MT,Spot,Bloomberg,CMCNCUJV AMTL Index
