Date,Price,Commodity,Units,Type,Data Source,Ticker
2023-08-18,8168.3375,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-08-25,8327.939999999999,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-09-01,8435.075,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-09-08,8363.35,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-09-15,8372.619999999999,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-09-22,8221.258,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-09-29,8109.12,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-10-06,7915.4,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-10-13,7944.4619999999995,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-10-20,7905.502,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-10-27,7957.052000000001,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-11-03,8057.49,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-11-10,8068.008,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-11-17,8137.539999999999,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-11-24,8316.498,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-12-01,8381.904,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-12-08,8288.2,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-12-15,8332.282000000001,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-12-22,8474.962,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2023-12-29,8527.723333333333,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2024-01-05,8396.95,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2024-01-12,8275.098000000002,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2024-01-19,8244.362,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2024-01-26,8392.908,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2024-02-02,8453.418,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
2024-02-09,8177.858,Copper (Cu),USD/MT,Spot (LME Cash),Bloomberg,LMCADY Comdty
