Date,Price,Commodity,Units,Type,Data Source,Ticker,has_quality_issues
2023-08-18,35.0025,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-08-25,34.42,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-09-01,33.312,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-09-08,29.3,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-09-15,28.303999999999995,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-09-22,27.536,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-09-29,27.195999999999998,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-10-06,24.5,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-10-13,24.068,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-10-20,23.57,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-10-27,23.522,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-11-03,22.564,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-11-10,21.856,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-11-17,21.238,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-11-24,20.8675,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-12-01,20.116,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-12-08,17.484,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-12-15,16.29,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-12-22,16.174,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2023-12-29,16.215,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-01-05,15.195,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-01-12,14.922,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-01-19,14.7375,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-01-26,14.712,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-02-02,14.508,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-02-09,14.25,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-02-16,14.25,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-02-23,14.145,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-03-01,13.87,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-03-08,13.2,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-03-15,13.346,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-03-22,13.27,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-03-29,13.27,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-04-05,13.25,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-04-12,13.408000000000001,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-04-19,13.52,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-04-26,13.574000000000002,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-05-03,14.006,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-05-10,14.25,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-05-17,14.25,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-05-24,14.196000000000002,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-05-31,14.1675,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-06-07,13.813999999999998,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-06-14,13.616,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-06-21,13.58,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-06-28,13.538,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-07-05,13.235,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-07-12,12.888,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-07-19,12.809999999999999,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-07-26,12.728,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-08-02,12.368,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-08-09,11.78,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-08-16,11.495999999999999,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-08-23,11.315999999999999,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-08-30,11.302000000000001,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-09-06,10.82,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-09-13,10.7,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-09-20,10.684000000000001,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-09-27,10.68,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-10-04,10.942,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-10-11,10.99,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-10-18,10.85,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-10-25,10.756,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-11-01,10.77,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-11-08,10.802000000000001,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-11-15,10.943999999999999,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-11-22,10.986,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-11-29,10.925,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-12-06,10.65,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-12-13,10.594,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-12-20,10.534,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2024-12-27,10.5,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-01-03,10.42,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-01-10,10.26,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-01-17,10.222,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-01-24,10.1675,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-01-31,10.15,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-02-07,9.947999999999999,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-02-14,9.846,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-02-21,9.825,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-02-28,9.82,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-03-07,9.572,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-03-14,9.5,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-03-21,9.459999999999999,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-03-28,9.45,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-04-04,9.37,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-04-11,9.282,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-04-18,9.18,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-04-25,9.156,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-05-02,8.958,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
2025-05-09,8.7,Lithium (Li),USD/kg,Futures,Bloomberg,LJC1 Comdty,True
