Date,Price,Commodity,Units,Type,Data Source,Ticker,has_quality_issues
2023-08-18,-7.4625,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-08-25,-8.47,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-09-01,-9.16,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-09-08,-8.78,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-09-15,-8.36,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-09-22,-5.54,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-09-29,-6.590000000000001,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-10-06,-6.959999999999999,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-10-13,-7.5,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-10-20,-7.26,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-10-27,-7.919999999999999,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-11-03,-9.45,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-11-10,-9.63,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-11-17,-8.41,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-11-24,-8.41,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-12-01,-10.3,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-12-08,-8.64,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-12-15,-8.55,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-12-22,-8.5,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2023-12-29,-8.879999999999999,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2024-01-05,-8.27,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2024-01-12,-8.36,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2024-01-19,-7.7,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2024-01-26,-8.61,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2024-02-02,-7.24,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
2024-02-09,-7.220000000000001,WCS Differential,USD/barrel,Spot Differential / Spot Price,Bloomberg,WC1DSPOT MRXI Index,True
