Date,Price,Commodity,Units,Type,Data Source,Ticker,has_quality_issues
2024-02-26,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-02-27,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-02-28,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-02-29,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-01,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-04,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-05,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-06,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-07,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-08,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-11,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-12,91000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-13,91000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-14,91000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-15,91000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-18,91000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-19,91000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-20,91000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-21,91000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-22,91000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-25,91000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-26,91000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-27,91000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-28,91000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-03-29,91000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-01,91000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-02,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-03,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-08,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-09,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-10,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-11,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-12,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-15,91500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-16,92500.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-17,93000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-18,93000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-19,93000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-22,95000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-23,95000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-24,96000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-25,97000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-26,98000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-29,100000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-04-30,100000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-06,101000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-07,101000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-08,101000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-09,103000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-10,104000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-13,104000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-14,107000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-15,109000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-16,119000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-17,119000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-20,119000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-21,120000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-22,120000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-23,127000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-24,127000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-27,135000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-29,136000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-30,141000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-05-31,141000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-06-03,142000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-06-04,150000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-06-05,152000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-06-06,153000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
2024-06-07,154000.0,Antimony (Sb),CNY/MT,Spot,Bloomberg,CCSMANT1 Index,True
